Country Code	Country Name	Latitude (generated)	Longitude (generated)
ZWE	Zimbabwe	-19.098	30.047
ZMB	Zambia	-15.13	25.268
ZAF	South Africa	-31.7	23.441
YEM	Yemen, Rep.	15.569	47.793
XKX	Kosovo	42.546	20.921
WSM	Samoa	-13.6221	-172.439
WLD	World		
VUT	Vanuatu	-15.339	166.89
VNM	Viet Nam	21.75	105.373
VIR	Virgin Islands (U.S.)	17.7289	-64.7592
VGB	British Virgin Islands	18.4204	-64.64
VEN	Venezuela, RB	6.983	-64.588
VCT	St. Vincent and the Grenadines	13.2528	-61.1949
UZB	Uzbekistan	41.757	63.958
USA	United States	40.0792	-98.8164
URY	Uruguay	-32.948	-56.249
UMC	Upper middle income		
UKR	Ukraine	49.364	32.132
UGA	Uganda	1.9392	32.7415
TZA	Tanzania	-5.651	34.146
TUV	Tuvalu	-7.4786	178.6758
TUR	Turkiye	39.144	34.188
TUN	Tunisia	35.594	9.421
TTO	Trinidad and Tobago	10.4435	-61.2604
TSS	Sub-Saharan Africa (IDA & IBRD countries)		
TSA	South Asia (IDA & IBRD)		
TON	Tonga	-21.167	-175.19
TMN	Middle East & North Africa (IDA & IBRD countries)		
TLS	Timor-Leste	-8.856	125.556
TLA	Latin America & the Caribbean (IDA & IBRD countries)		
TKM	Turkmenistan	39.584	59.597
TJK	Tajikistan	38.367	72.597
THA	Thailand	15.688	100.845
TGO	Togo	7.7	1.106
TEC	Europe & Central Asia (IDA & IBRD countries)		
TEA	East Asia & Pacific (IDA & IBRD countries)		
TCD	Chad	15.981	18.781
TCA	Turks and Caicos Islands	21.7779	-71.7592
SYR	Syrian Arab Republic	35.303	38.322
SYC	Seychelles	-4.6841	55.4924
SXM	Sint Maarten (Dutch part)	18.034	-63.0544
SWZ	Eswatini	-26.5203	31.4607
SWE	Sweden	66.2188	19
SVN	Slovenia	46.037	14.534
SVK	Slovak Republic	48.8595	19.4434
SUR	Suriname	4.248	-55.848
STP	Sao Tome and Principe	0.216	6.595
SST	Small states		
SSF	Sub-Saharan Africa		
SSD	South Sudan	7.1	30.48
SSA	Sub-Saharan Africa (excluding high income)		
SRB	Serbia	44.021	20.699
SOM	Somalia	2.875	43.446
SMR	San Marino	43.942	12.4611
SLV	El Salvador	13.848	-89.229
SLE	Sierra Leone	8.677	-11.779
SLB	Solomon Islands	-9.5987	160.1487
SGP	Singapore	1.3389	103.8297
SEN	Senegal	15.044	-15.081
SDN	Sudan	15.739	29.533
SAU	Saudi Arabia	24.191	44.32
SAS	South Asia		
RWA	Rwanda	-1.887	29.904
RUS	Russian Federation	64.736	104.062
ROU	Romania	45.933	25.119
QAT	Qatar	25.3174	51.1522
PYF	French Polynesia	-17.529	-149.53
PST	Post-demographic dividend		
PSS	Pacific island small states		
PSE	West Bank and Gaza	32.097	35.26
PRY	Paraguay	-23.266	-58.409
PRT	Portugal	40.957	-7.9373
PRK	Korea, Dem. People's Rep.		
PRI	Puerto Rico	18.242	-66.643
PRE	Pre-demographic dividend		
POL	Poland	52.442	19.72
PNG	Papua New Guinea	-5.636	142.798
PLW	Palau	7.5288	134.5573
PHL	Philippines	17.181	121.256
PER	Peru	-12.664	-72.98
PAN	Panama	8.348	-81.005
PAK	Pakistan	28.1854	66.6429
OSS	Other small states		
OMN	Oman	19.85	56.25
OED	OECD members		
NZL	New Zealand	-42.558	172.377
NRU	Nauru	-0.5287	166.9315
NPL	Nepal	28.2114	83.5608
NOR	Norway	61.3701	9.3031
NLD	Netherlands	52.1704	5.0102
NIC	Nicaragua	12.692	-85.03
NGA	Nigeria	9.3417	7.678
NER	Niger	16.996	9.915
NCL	New Caledonia	-21.02	165.062
NAM	Namibia	-21.276	17.219
NAC	North America		
MYS	Malaysia	4.416	102.099
MWI	Malawi	-13.2731	33.7428
MUS	Mauritius	-20.2529	57.5902
MRT	Mauritania	19.413	-10.6528
MOZ	Mozambique	-13.852	38.042
MNP	Northern Mariana Islands	15.1905	145.7471
MNG	Mongolia	46.516	102.564
MNE	Montenegro	42.857	19.096
MNA	Middle East & North Africa (excluding high income)		
MMR	Myanmar	21.841	96.05
MLT	Malta	35.9024	14.4137
MLI	Mali	18.211	-2.209
MKD	North Macedonia	41.636	21.676
MIC	Middle income		
MHL	Marshall Islands	5.961	169.651
MEX	Mexico	22.925	-101.68
MEA	Middle East & North Africa		
MDV	Maldives	4.221	73.463
MDG	Madagascar	-19.615	46.645
MDA	Moldova	47.524	28.444
MCO	Monaco	43.7384	7.4243
MAR	Morocco	31.129	-7.355
MAF	St. Martin (French part)	18.0848	-63.0507
MAC	Macao SAR, China	22.1404	113.5643
LVA	Latvia	57.017	25.0173
LUX	Luxembourg	49.671	6.113
LTU	Lithuania	55.342	24.23
LTE	Late-demographic dividend		
LSO	Lesotho	-29.446	28.371
LMY	Low & middle income		
LMC	Lower middle income		
LKA	Sri Lanka	7.3	80.727
LIE	Liechtenstein	47.1593	9.547
LIC	Low income		
LDC	Least developed countries: UN classification		
LCN	Latin America & Caribbean		
LCA	St. Lucia	13.909	-60.9776
LBY	Libya	27.24	17.571
LBR	Liberia	6.51	-9.33
LBN	Lebanon	34.161	36.021
LAO	Lao PDR	19.595	102.538
LAC	Latin America & Caribbean (excluding high income)		
KWT	Kuwait	29.3169	47.4272
KOR	Korea, Rep.	36.338	128.16
KNA	St. Kitts and Nevis	17.147	-62.58
KIR	Kiribati	2.048	-158.59
KHM	Cambodia	12.69	104.444
KGZ	Kyrgyz Republic	41.741	75.043
KEN	Kenya	0.806	38.166
KAZ	Kazakhstan	48.866	69.772
JPN	Japan	35.962	137.855
JOR	Jordan	30.681	36.279
JAM	Jamaica	18.163	-77.477
ITA	Italy	44.3713	11.1084
ISR	Israel	30.992	34.834
ISL	Iceland	64.826	-18.417
IRQ	Iraq	33.545	43.278
IRN	Iran, Islamic Rep.	33.408	54.0418
IRL	Ireland	53.214	-7.588
INX	Not classified		
IND	India	22.741	78.236
IMN	Isle of Man	54.2362	-4.5149
IDX	IDA only		
IDN	Indonesia	-0.739	114.045
IDB	IDA blend		
IDA	IDA total		
IBT	IDA & IBRD total		
IBD	IBRD only		
HUN	Hungary	47.174	19.618
HTI	Haiti	19.3175	-72.4205
HRV	Croatia	45.754	16.385
HPC	Heavily indebted poor countries (HIPC)		
HND	Honduras	14.881	-87.123
HKG	Hong Kong SAR, China	22.4114	114.0599
HIC	High income		
GUY	Guyana	5.17	-58.939
GUM	Guam	13.45	144.7579
GTM	Guatemala	15.124	-90.711
GRL	Greenland	71	-39
GRD	Grenada	12.111	-61.6867
GRC	Greece	39.787	21.617
GNQ	Equatorial Guinea	1.6342	10.4695
GNB	Guinea-Bissau	12.191	-14.475
GMB	Gambia, The	13.499	-14.641
GIN	Guinea	10.599	-10.907
GIB	Gibraltar	36.134	-5.3482
GHA	Ghana	7.258	-1.062
GEO	Georgia	42.05	43.576
GBR	United Kingdom	52.289	-1.259
GAB	Gabon	-0.406	11.914
FSM	Micronesia, Fed. Sts.	7.531	150.457
FRO	Faroe Islands	62.1252	-7.0174
FRA	France	46.656	2.543
FJI	Fiji	-17.7941	177.9783
FIN	Finland	62.716	26.192
FCS	Fragile and conflict affected situations		
EUU	European Union		
ETH	Ethiopia	8.435	38.786
EST	Estonia	58.777	25.977
ESP	Spain	40.617	-3.388
ERI	Eritrea	15.982	38.02
EMU	Euro area		
EGY	Egypt, Arab Rep.	26.16	28.742
ECU	Ecuador	-1.151	-78.308
ECS	Europe & Central Asia		
ECA	Europe & Central Asia (excluding high income)		
EAS	East Asia & Pacific		
EAR	Early-demographic dividend		
EAP	East Asia & Pacific (excluding high income)		
DZA	Algeria	28.6045	2.64
DOM	Dominican Republic	19.01	-70.1685
DNK	Denmark	56.113	9.096
DMA	Dominica	15.4238	-61.3411
DJI	Djibouti	11.41	42.165
DEU	Germany	51.3819	9.9877
CZE	Czechia	49.848	15.2812
CYP	Cyprus	34.894	32.928
CYM	Cayman Islands	19.3299	-81.1715
CUW	Curacao	12.2129	-69.0407
CUB	Cuba	20.571	-76.456
CSS	Caribbean small states		
CRI	Costa Rica	10.126	-84.075
CPV	Cabo Verde	15.416	-23.36
COM	Comoros	-11.6527	43.3307
COL	Colombia	3.794	-73.606
COG	Congo, Rep.	0.509	16.08
COD	Congo, Dem. Rep.	-1.418	23.607
CMR	Cameroon	4.4	12.131
CIV	Cote d'Ivoire	7.497	-5.336
CHN	China	35.1753	99.3877
CHL	Chile	-23.176	-69.201
CHI	Channel Islands	49.4632	-2.5827
CHE	Switzerland	46.7794	8.0329
CEB	Central Europe and the Baltics		
CAN	Canada	59.2067	-111.1937
CAF	Central African Republic	7.043	21.424
BWA	Botswana	-22.126	23.662
BTN	Bhutan	27.5342	90.3002
BRN	Brunei Darussalam	4.452	114.557
BRB	Barbados	13.1898	-59.559
BRA	Brazil	-11.694	-48.978
BOL	Bolivia	-16.71	-65.183
BMU	Bermuda	32.3019	-64.7737
BLZ	Belize	17.108	-88.744
BLR	Belarus	53.3292	27.9492
BIH	Bosnia and Herzegovina	44.342	17.804
BHS	Bahamas, The	24.7032	-78.0455
BHR	Bahrain	26.025	50.5534
BGR	Bulgaria	42.625	24.521
BGD	Bangladesh	24.598	90.1963
BFA	Burkina Faso	12.673	-1.226
BEN	Benin	10.478	2.274
BEL	Belgium	50.6745	4.4588
BDI	Burundi	-3.333	29.749
AZE	Azerbaijan	40.46	47.883
AUT	Austria	47.65	14.705
AUS	Australia	-24.578	133.582
ATG	Antigua and Barbuda	17.625	-61.786
ASM	American Samoa	-14.3018	-170.7511
ARM	Armenia	40.56	44.449
ARG	Argentina	-33.166	-64.31
ARE	United Arab Emirates	23.9299	53.9031
ARB	Arab World		
AND	Andorra	42.5425	1.5893
ALB	Albania	40.654	20.076
AGO	Angola	-12.836	17.808
AFW	Africa Western and Central		
AFG	Afghanistan	34.023	65.5267
AFE	Africa Eastern and Southern		
ABW	Aruba	12.5176	-69.9818